#   ELECTRON+POSITRON  AMS02(2011/06-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.400000e+01 2.340000e+01 2.460000e+01 1.390000e-02 1.000000e-04 1.000000e-04 3.000000e-04 3.000000e-04 3.162278e-04 3.162278e-04
2.520000e+01 2.460000e+01 2.590000e+01 1.190000e-02 1.000000e-04 1.000000e-04 2.000000e-04 2.000000e-04 2.236068e-04 2.236068e-04
2.660000e+01 2.590000e+01 2.720000e+01 9.980000e-03 6.000000e-05 6.000000e-05 2.000000e-04 2.000000e-04 2.088061e-04 2.088061e-04
2.800000e+01 2.720000e+01 2.870000e+01 8.520000e-03 5.000000e-05 5.000000e-05 1.700000e-04 1.700000e-04 1.772005e-04 1.772005e-04
2.940000e+01 2.870000e+01 3.020000e+01 7.220000e-03 4.000000e-05 4.000000e-05 1.500000e-04 1.500000e-04 1.552417e-04 1.552417e-04
3.100000e+01 3.020000e+01 3.180000e+01 6.030000e-03 4.000000e-05 4.000000e-05 1.200000e-04 1.200000e-04 1.264911e-04 1.264911e-04
3.270000e+01 3.180000e+01 3.350000e+01 5.150000e-03 3.000000e-05 3.000000e-05 1.100000e-04 1.100000e-04 1.140175e-04 1.140175e-04
3.440000e+01 3.350000e+01 3.540000e+01 4.290000e-03 3.000000e-05 3.000000e-05 9.000000e-05 9.000000e-05 9.486833e-05 9.486833e-05
3.630000e+01 3.540000e+01 3.730000e+01 3.640000e-03 3.000000e-05 3.000000e-05 7.000000e-05 7.000000e-05 7.615773e-05 7.615773e-05
3.830000e+01 3.730000e+01 3.940000e+01 3.110000e-03 2.000000e-05 2.000000e-05 6.000000e-05 6.000000e-05 6.324555e-05 6.324555e-05
4.050000e+01 3.940000e+01 4.160000e+01 2.590000e-03 2.000000e-05 2.000000e-05 5.000000e-05 5.000000e-05 5.385165e-05 5.385165e-05
4.280000e+01 4.160000e+01 4.400000e+01 2.180000e-03 2.000000e-05 2.000000e-05 4.000000e-05 4.000000e-05 4.472136e-05 4.472136e-05
4.530000e+01 4.400000e+01 4.660000e+01 1.810000e-03 2.000000e-05 2.000000e-05 4.000000e-05 4.000000e-05 4.472136e-05 4.472136e-05
4.790000e+01 4.660000e+01 4.930000e+01 1.490000e-03 1.000000e-05 1.000000e-05 3.000000e-05 3.000000e-05 3.162278e-05 3.162278e-05
5.080000e+01 4.930000e+01 5.230000e+01 1.240000e-03 1.000000e-05 1.000000e-05 3.000000e-05 3.000000e-05 3.162278e-05 3.162278e-05
5.390000e+01 5.230000e+01 5.560000e+01 1.040000e-03 1.000000e-05 1.000000e-05 2.000000e-05 2.000000e-05 2.236068e-05 2.236068e-05
5.730000e+01 5.560000e+01 5.910000e+01 8.620000e-04 1.000000e-05 1.000000e-05 1.800000e-05 1.800000e-05 2.059126e-05 2.059126e-05
6.100000e+01 5.910000e+01 6.300000e+01 7.060000e-04 9.000000e-06 9.000000e-06 1.500000e-05 1.500000e-05 1.749286e-05 1.749286e-05
6.510000e+01 6.300000e+01 6.730000e+01 5.620000e-04 7.000000e-06 7.000000e-06 1.200000e-05 1.200000e-05 1.389244e-05 1.389244e-05
6.960000e+01 6.730000e+01 7.200000e+01 4.560000e-04 6.000000e-06 6.000000e-06 9.000000e-06 9.000000e-06 1.081665e-05 1.081665e-05
