0.102937,0.282924
0.11446,0.273911
0.127273,0.265186
0.14152,0.256738
0.157368,0.250579
0.168894,0.242597
0.187785,0.231098
0.208814,0.225554
0.23218,0.216609
0.24628,0.213131
0.273826,0.203029
0.297384,0.198158
0.326779,0.190299
0.363343,0.182752
0.404,0.175504
0.443914,0.167185
0.487791,0.160555
0.536006,0.154188
0.595982,0.148073
0.647176,0.141054
0.711145,0.13546
0.790685,0.129039
0.868839,0.123921
0.966057,0.119007
1.06155,0.114287
1.16642,0.10887
1.29699,0.105402
1.44218,0.102044
1.62267,0.0987933
1.80431,0.0956462
2.00637,0.0933519
2.25765,0.091853
2.51058,0.0903781
2.82513,0.0896496
3.14177,0.0889269
3.5354,0.0882101
3.97884,0.0896496
4.42516,0.0903781
4.80667,0.0911126
5.34584,0.091853
5.87594,0.0933519
6.30813,0.0956462
6.93395,0.097997
7.44334,0.0987933
7.99115,0.102044
8.57892,0.104552
9.31893,0.106258
10.1232,0.10887
10.7402,0.111545
11.6671,0.114287
12.8257,0.119007
14.0975,0.120949
14.9574,0.124928
16.2503,0.131145
17.8639,0.136561
19.6378,0.1422
21.8433,0.146879
23.1756,0.151712
25.1778,0.157977
27.0297,0.16186
29.0202,0.168544
31.5261,0.17409
34.6581,0.182752
38.0996,0.190299
42.3821,0.199769
46.5886,0.206342
51.8253,0.216609
56.9715,0.225554
62.6287,0.234869
69.6654,0.244569
75.681,0.252616
81.2509,0.260928
88.2669,0.269513
94.7591,0.276137
107.916,0.282924
118.632,0.294608
131.961,0.306774
148.525,0.316868
163.273,0.329954
181.611,0.340811
204.398,0.349187
227.354,0.360676
252.878,0.369541
284.608,0.378623
316.572,0.391081
352.112,0.400693
396.294,0.410541
440.765,0.417241
496.07,0.427495
551.738,0.434472
620.942,0.441562
690.623,0.448767
777.247,0.45609
874.7,0.459797
972.857,0.4673
