x	y
132.155	2.658
132.155	2.664
132.574	2.664
132.574	2.670
132.979	2.670
133.385	2.670
133.385	2.676
133.792	2.683
134.201	2.683
134.896	2.693
135.308	2.693
135.721	2.697
136.009	2.703
136.009	2.709
136.297	2.715
136.297	2.722
136.713	2.722
137.131	2.722
137.549	2.726
137.969	2.732
138.390	2.738
138.813	2.738
138.813	2.742
139.237	2.749
139.532	2.749
139.532	2.755
139.958	2.761
140.385	2.767
140.814	2.773
140.814	2.780
141.111	2.780
141.111	2.786
141.542	2.786
141.974	2.792
142.275	2.799
142.275	2.803
143.145	2.803
143.582	2.809
143.582	2.816
144.020	2.822
144.479	2.822
145.381	2.829
145.825	2.829
146.133	2.829
146.443	2.835
147.065	2.840
147.514	2.846
147.964	2.846
148.416	2.853
148.869	2.853
149.323	2.859
149.799	2.866
149.799	2.872
150.256	2.872
150.256	2.879
151.033	2.883
151.494	2.883
151.494	2.890
152.440	2.896
152.906	2.896
153.086	2.902
153.372	2.896
153.372	2.903
153.841	2.903
154.310	2.907
154.781	2.914
155.254	2.914
155.583	2.920
155.913	2.920
155.913	2.925
156.244	2.925
156.721	2.925
157.199	2.925
157.199	2.930
157.679	2.930
159.693	2.930
161.053	2.943
161.545	2.943
161.545	2.948
162.038	2.948
162.532	2.948
163.048	2.954
163.546	2.961
163.893	2.966
165.461	2.980
165.988	2.980
166.495	2.980
166.495	2.987
167.003	2.987
167.513	2.987
167.513	2.991
168.024	2.991
168.537	2.998
169.052	2.998
169.590	3.005
170.128	3.012
170.647	3.019
171.691	3.026
172.055	3.026
172.055	3.032
172.100	3.039
172.603	3.032
172.603	3.021
172.626	3.039
173.152	3.039
173.681	3.039
173.681	3.045
174.211	3.045
174.949	3.045
175.506	3.052
176.437	3.052
176.975	3.052
177.515	3.052
178.057	3.052
178.057	3.059
178.435	3.059
178.980	3.066
179.526	3.066
179.907	3.073
180.480	3.073
181.031	3.073
182.138	3.073
182.522	3.078
182.909	3.078
183.679	3.085
183.857	3.078
185.005	3.085
185.398	3.085
186.532	3.085
186.925	3.085
187.322	3.085
187.719	3.090
188.292	3.097
189.268	3.097
189.846	3.104
190.425	3.104
191.006	3.104
191.412	3.112
192.582	3.112
193.398	3.119
193.988	3.119
193.988	3.126
195.821	3.126
198.115	3.134
198.533	3.134
199.139	3.134
199.985	3.134
200.595	3.134
201.848	3.141
202.465	3.148
203.107	3.148
204.186	3.148
204.809	3.148
206.307	3.155
207.593	3.155
208.034	3.155
208.034	3.162
209.555	3.162
211.337	3.170
211.982	3.170
215.148	3.170
215.830	3.170
216.489	3.170
217.409	3.170
218.809	3.190
219.228	3.170
219.228	3.177
219.897	3.177
220.569	3.182
221.740	3.182
223.596	3.190
224.784	3.190
225.470	3.190
225.949	3.197
226.665	3.197
228.535	3.197
229.020	3.197
230.237	3.197
232.440	3.202
232.931	3.202
234.914	3.202
239.686	3.209
241.183	3.217
242.430	3.217
244.235	3.217
244.980	3.217
246.247	3.217
247.555	3.217
248.080	3.217
248.837	3.217
250.359	3.217
251.656	3.224
252.424	3.224
252.424	3.232
254.743	3.232
257.966	3.232
258.754	3.232
259.300	3.232
261.473	3.232
263.138	3.232
265.097	3.232
267.599	3.232
268.726	3.216
270.446	3.232
272.424	3.232
275.615	3.232
277.333	3.232
279.066	3.232
280.251	3.232
281.107	3.232
284.325	3.232
285.798	3.232
287.583	3.232
293.114	3.224
295.293	3.224
297.768	3.224
299.981	3.224
303.817	3.224
304.744	3.224
305.582	3.216
305.675	3.224
308.560	3.224
309.870	3.224
310.816	3.224
312.464	3.217
315.417	3.209
317.425	3.202
318.098	3.202
319.746	3.195
322.422	3.195
323.449	3.195
323.888	3.208
324.436	3.195
324.823	3.197
328.807	3.211
328.988	3.208
329.505	3.211
330.200	3.211
330.731	3.208
331.208	3.211
331.433	3.208
331.911	3.211
332.445	3.208
333.150	3.208
335.938	3.208
336.651	3.208
338.395	3.208
339.113	3.208
341.232	3.208
341.951	3.208
343.108	3.216
343.723	3.208
344.452	3.208
345.504	3.208
346.237	3.208
346.971	3.208
348.031	3.208
348.765	3.208
349.830	3.208
350.572	3.208
352.388	3.208
353.136	3.208
353.885	3.208
356.091	3.208
356.847	3.208
359.880	3.199
360.979	3.191
362.081	3.184
362.849	3.179
365.116	3.179
365.116	3.171
365.890	3.171
367.007	3.171
367.782	3.171
368.904	3.171
370.030	3.167
371.948	3.167
372.737	3.167
373.875	3.159
374.668	3.152
377.853	3.152
377.853	3.145
379.811	3.145
383.395	3.137
384.209	3.137
385.382	3.137
386.026	3.150
387.019	3.137
387.019	3.132
389.024	3.132
391.035	3.132
391.864	3.125
395.516	3.125
397.986	3.121
399.201	3.121
402.169	3.113
403.022	3.113
403.877	3.113
405.110	3.113
406.395	3.106
410.182	3.099
411.434	3.099
412.690	3.092
414.828	3.092
417.027	3.092
419.687	3.085
420.573	3.085
