#   ELECTRON+POSITRON  Fermi-LAT(2008/06-2009/06)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
5.077000e+01 4.800000e+01 5.370000e+01 1.110000e-03 1.900000e-06 1.900000e-06 4.600000e-05 3.800000e-05 4.603922e-05 3.804747e-05
5.695000e+01 5.370000e+01 6.040000e+01 7.750000e-04 1.400000e-06 1.400000e-06 3.800000e-05 2.900000e-05 3.802578e-05 2.903377e-05
6.418000e+01 6.040000e+01 6.820000e+01 5.360000e-04 1.100000e-06 1.100000e-06 2.400000e-05 2.100000e-05 2.402520e-05 2.102879e-05
7.265000e+01 6.820000e+01 7.740000e+01 3.650000e-04 9.000000e-07 9.000000e-07 1.900000e-05 1.400000e-05 1.902130e-05 1.402890e-05
8.257000e+01 7.740000e+01 8.810000e+01 2.470000e-04 7.000000e-07 7.000000e-07 1.200000e-05 1.100000e-05 1.202040e-05 1.102225e-05
9.427000e+01 8.800000e+01 1.010000e+02 1.659000e-04 5.100000e-07 5.100000e-07 8.400000e-06 7.700000e-06 8.415468e-06 7.716871e-06
1.082000e+02 1.010000e+02 1.160000e+02 1.097000e-04 3.800000e-07 3.800000e-07 5.900000e-06 5.200000e-06 5.912225e-06 5.213866e-06
1.242000e+02 1.160000e+02 1.330000e+02 7.250000e-05 2.900000e-07 2.900000e-07 3.800000e-06 3.700000e-06 3.811050e-06 3.711347e-06
1.431000e+02 1.330000e+02 1.540000e+02 4.700000e-05 2.200000e-07 2.200000e-07 2.500000e-06 2.500000e-06 2.509661e-06 2.509661e-06
1.664000e+02 1.540000e+02 1.800000e+02 3.030000e-05 1.600000e-07 1.600000e-07 1.600000e-06 1.500000e-06 1.607980e-06 1.508509e-06
1.944000e+02 1.800000e+02 2.100000e+02 1.920000e-05 1.200000e-07 1.200000e-07 1.000000e-06 1.000000e-06 1.007174e-06 1.007174e-06
2.272000e+02 2.100000e+02 2.460000e+02 1.198000e-05 9.000000e-08 9.000000e-08 6.200000e-07 6.800000e-07 6.264982e-07 6.859300e-07
2.675000e+02 2.460000e+02 2.910000e+02 7.280000e-06 6.500000e-08 6.500000e-08 3.700000e-07 4.100000e-07 3.756661e-07 4.151205e-07
3.173000e+02 2.910000e+02 3.460000e+02 4.340000e-06 4.600000e-08 4.600000e-08 2.400000e-07 2.300000e-07 2.443686e-07 2.345549e-07
3.789000e+02 3.460000e+02 4.150000e+02 2.510000e-06 3.200000e-08 3.200000e-08 1.400000e-07 1.400000e-07 1.436106e-07 1.436106e-07
4.568000e+02 4.150000e+02 5.030000e+02 1.407000e-06 2.200000e-08 2.200000e-08 9.200000e-08 9.500000e-08 9.459387e-08 9.751410e-08
5.561000e+02 5.030000e+02 6.150000e+02 7.540000e-07 1.500000e-08 1.500000e-08 5.700000e-08 5.600000e-08 5.894065e-08 5.797413e-08
6.890000e+02 6.150000e+02 7.720000e+02 3.700000e-07 1.000000e-08 1.000000e-08 3.900000e-08 5.400000e-08 4.026164e-08 5.491812e-08
8.786000e+02 7.720000e+02 1.000000e+03 1.790000e-07 6.900000e-09 6.900000e-09 2.500000e-08 3.200000e-08 2.593473e-08 3.273545e-08
