#   ELECTRON+POSITRON  H.E.S.S.(2004/10-2007/08)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
7.147130e+02 7.147130e+02 7.147130e+02 4.071000e-07 1.460000e-08 1.460000e-08 0.000000e+00 0.000000e+00 1.460000e-08 1.460000e-08
9.299800e+02 9.299800e+02 9.299800e+02 1.653000e-07 7.100000e-09 5.670000e-09 0.000000e+00 0.000000e+00 7.100000e-09 5.670000e-09
1.213760e+03 1.213760e+03 1.213760e+03 6.028000e-08 2.680000e-09 2.680000e-09 0.000000e+00 0.000000e+00 2.680000e-09 2.680000e-09
1.579330e+03 1.579330e+03 1.579330e+03 1.898000e-08 1.260000e-09 1.470000e-09 0.000000e+00 0.000000e+00 1.260000e-09 1.470000e-09
2.034570e+03 2.034570e+03 2.034570e+03 7.530000e-09 6.250000e-10 7.020000e-10 0.000000e+00 0.000000e+00 6.250000e-10 7.020000e-10
2.655410e+03 2.655410e+03 2.655410e+03 1.930000e-09 3.140000e-10 3.140000e-10 0.000000e+00 0.000000e+00 3.140000e-10 3.140000e-10
3.455200e+03 3.455200e+03 3.455200e+03 5.716000e-10 1.800000e-10 1.790000e-10 0.000000e+00 0.000000e+00 1.800000e-10 1.790000e-10
4.509530e+03 4.509530e+03 4.509530e+03 4.984000e-10 9.120000e-11 9.680000e-11 0.000000e+00 0.000000e+00 9.120000e-11 9.680000e-11
