#   POSITRON/ELECTRON+POSITRON  AMS02(2011/06-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.659000e+01 2.587000e+01 2.734000e+01 6.620000e-02 1.400000e-03 1.400000e-03 5.000000e-04 5.000000e-04 1.486607e-03 1.486607e-03
2.809000e+01 2.734000e+01 2.887000e+01 7.040000e-02 1.500000e-03 1.500000e-03 6.000000e-04 6.000000e-04 1.615549e-03 1.615549e-03
2.965000e+01 2.887000e+01 3.045000e+01 7.170000e-02 1.600000e-03 1.600000e-03 6.000000e-04 6.000000e-04 1.708801e-03 1.708801e-03
3.126000e+01 3.045000e+01 3.210000e+01 7.190000e-02 1.800000e-03 1.800000e-03 6.000000e-04 6.000000e-04 1.897367e-03 1.897367e-03
3.294000e+01 3.210000e+01 3.380000e+01 7.210000e-02 1.900000e-03 1.900000e-03 6.000000e-04 6.000000e-04 1.992486e-03 1.992486e-03
3.467000e+01 3.380000e+01 3.557000e+01 7.660000e-02 2.100000e-03 2.100000e-03 7.000000e-04 7.000000e-04 2.213594e-03 2.213594e-03
3.647000e+01 3.557000e+01 3.740000e+01 7.320000e-02 2.100000e-03 2.100000e-03 7.000000e-04 7.000000e-04 2.213594e-03 2.213594e-03
3.868000e+01 3.740000e+01 4.000000e+01 7.810000e-02 2.000000e-03 2.000000e-03 7.000000e-04 7.000000e-04 2.118962e-03 2.118962e-03
4.166000e+01 4.000000e+01 4.339000e+01 8.060000e-02 2.100000e-03 2.100000e-03 8.000000e-04 8.000000e-04 2.247221e-03 2.247221e-03
4.516000e+01 4.339000e+01 4.701000e+01 8.720000e-02 2.400000e-03 2.400000e-03 8.000000e-04 8.000000e-04 2.529822e-03 2.529822e-03
4.890000e+01 4.701000e+01 5.087000e+01 8.400000e-02 2.700000e-03 2.700000e-03 9.000000e-04 9.000000e-04 2.846050e-03 2.846050e-03
5.289000e+01 5.087000e+01 5.498000e+01 8.870000e-02 2.800000e-03 2.800000e-03 1.000000e-03 1.000000e-03 2.973214e-03 2.973214e-03
5.713000e+01 5.498000e+01 5.936000e+01 9.210000e-02 3.200000e-03 3.200000e-03 1.000000e-03 1.000000e-03 3.352611e-03 3.352611e-03
